Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2024-03-05,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-05,Codespaces - Linux,Storage,0.0314,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-05,Codespaces - Linux,Compute - 2 core,5.6484,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-06,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-06,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-06,Codespaces - Linux,Compute - 2 core,4.4893,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-07,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-07,Codespaces - Linux,Storage,0.0357,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-07,Codespaces - Linux,Compute - 2 core,6.0184,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-08,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-08,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-08,Codespaces - Linux,Compute - 2 core,2.5105,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-09,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-09,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-09,Codespaces - Linux,Compute - 2 core,5.3713,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-10,Codespaces - Linux,Storage,0.0253,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-10,Codespaces - Linux,Storage,0.0483,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-11,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-11,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-11,Codespaces - Linux,Compute - 2 core,1.9369,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-12,Codespaces - Linux,Storage,0.022,gb-month,0.07,1.0,mikeeymctacco,WebDevPractices,mikeeymctacco,,
2024-03-12,Codespaces - Linux,Storage,0.042,gb-month,0.07,1.0,mikeeymctacco,geme,mikeeymctacco,,
2024-03-12,Codespaces - Linux,Compute - 2 core,1.3215,hour,0.18,1.0,mikeeymctacco,geme,mikeeymctacco,,
